Date,Time,Currency,Impact,Event,Previous,Forecast,Actual
Jan18.2023,04::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,06::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,10::39,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,14::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,14::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,19::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,20::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,21::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,21::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,22::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,12::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,12::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,07::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,10::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,24::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,16::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,18::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,21::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,21::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,23::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan19.2023,23::35,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,12::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,08::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,14::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan20.2023,18::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan21.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan21.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan22.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan22.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,11::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,18::10,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,21::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,22::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan23.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan24.2023,,N/A,N/A,N/A,N/A,N/A,N/A
